Label	Full name	Kind	Compartment	Unit
[E1]	Occupation, industrial area, built up[resource_land]	environmental	[M2] resource_land	[U5] m2a
[E2]	Occupation, construction site[resource_land]	environmental	[M2] resource_land	[U5] m2a
[E3]	Transformation, from unknown[resource_land]	environmental	[M2] resource_land	[U6] m2
[E4]	Transformation, to industrial area, built up[resource_land]	environmental	[M2] resource_land	[U6] m2
[E5]	Occupation, urban, discontinuously built[resource_land]	environmental	[M2] resource_land	[U5] m2a
[E6]	Transformation, from pasture and meadow[resource_land]	environmental	[M2] resource_land	[U6] m2
[E7]	Transformation, to urban, discontinuously built[resource_land]	environmental	[M2] resource_land	[U6] m2
[E8]	Heat, waste[air_low population density]	environmental	[M3] air_low population density	[U9] MJ
[E9]	Energy, solar, converted[resource_in air]	environmental	[M4] resource_in air	[U9] MJ
[E10]	Heat, waste[air_high population density]	environmental	[M5] air_high population density	[U9] MJ
[E11]	NMVOC, non-methane volatile organic compounds, unspecified origin[air_high population density]	environmental	[M5] air_high population density	[U3] kg
[E12]	Ammonia[air_high population density]	environmental	[M5] air_high population density	[U3] kg
[E13]	Particulates, < 2.5 um[air_high population density]	environmental	[M5] air_high population density	[U3] kg
[E14]	Particulates, > 10 um[air_high population density]	environmental	[M5] air_high population density	[U3] kg
[E15]	Particulates, > 2.5 um, and < 10um[air_high population density]	environmental	[M5] air_high population density	[U3] kg
[E16]	Zinc, ion[water_river]	environmental	[M6] water_river	[U3] kg
[E17]	Lead[water_river]	environmental	[M6] water_river	[U3] kg
[E18]	Nickel, ion[water_river]	environmental	[M6] water_river	[U3] kg
[E19]	Mercury[water_river]	environmental	[M6] water_river	[U3] kg
[E20]	Copper, ion[water_river]	environmental	[M6] water_river	[U3] kg
[E21]	Chromium, ion[water_river]	environmental	[M6] water_river	[U3] kg
[E22]	Cadmium, ion[water_river]	environmental	[M6] water_river	[U3] kg
[E23]	Arsenic, ion[water_river]	environmental	[M6] water_river	[U3] kg
[E24]	Phosphate[water_river]	environmental	[M6] water_river	[U3] kg
[E25]	Ammonium, ion[water_river]	environmental	[M6] water_river	[U3] kg
[E26]	Nitrate[water_river]	environmental	[M6] water_river	[U3] kg
[E27]	Nitrate[air_high population density]	environmental	[M5] air_high population density	[U3] kg
[E28]	Calcite, in ground[resource_in ground]	environmental	[M7] resource_in ground	[U3] kg
[E29]	Sylvite, 25 % in sylvinite, in ground[resource_in ground]	environmental	[M7] resource_in ground	[U3] kg
[E30]	Water, cooling, unspecified natural origin[resource_in water]	environmental	[M8] resource_in water	[U2] m3
[E31]	Water, river[resource_in water]	environmental	[M8] resource_in water	[U2] m3
[E32]	Sodium, ion[water_river]	environmental	[M6] water_river	[U3] kg
[E33]	Potassium, ion[water_river]	environmental	[M6] water_river	[U3] kg
[E34]	Chloride[water_river]	environmental	[M6] water_river	[U3] kg
[E35]	Calcium, ion[water_river]	environmental	[M6] water_river	[U3] kg
[E36]	Magnesium[water_river]	environmental	[M6] water_river	[U3] kg
[E37]	Sulfur[water_river]	environmental	[M6] water_river	[U3] kg
[E38]	Hydrogen chloride[air_high population density]	environmental	[M5] air_high population density	[U3] kg
[E39]	Methane, biogenic[air_high population density]	environmental	[M5] air_high population density	[U3] kg
[E40]	Carbon monoxide, fossil[air_high population density]	environmental	[M5] air_high population density	[U3] kg
[E41]	Carbon dioxide, biogenic[air_high population density]	environmental	[M5] air_high population density	[U3] kg
[E42]	Carbon dioxide, fossil[air_high population density]	environmental	[M5] air_high population density	[U3] kg
[E43]	Dinitrogen monoxide[air_high population density]	environmental	[M5] air_high population density	[U3] kg
[E44]	Hydrogen sulfide[air_high population density]	environmental	[M5] air_high population density	[U3] kg
[E45]	Occupation, industrial area[resource_land]	environmental	[M2] resource_land	[U5] m2a
[E46]	Transformation, to industrial area[resource_land]	environmental	[M2] resource_land	[U6] m2
[E47]	Acetic acid[air_high population density]	environmental	[M5] air_high population density	[U3] kg
[E48]	Chlorine[air_high population density]	environmental	[M5] air_high population density	[U3] kg
[E49]	Chloroacetic acid[air_high population density]	environmental	[M5] air_high population density	[U3] kg
[E50]	Chlorosulfonic acid[air_high population density]	environmental	[M5] air_high population density	[U3] kg
[E51]	Cyanoacetic acid[air_high population density]	environmental	[M5] air_high population density	[U3] kg
[E52]	Benzene, dichloro[air_high population density]	environmental	[M5] air_high population density	[U3] kg
[E53]	Dimethyl malonate[air_high population density]	environmental	[M5] air_high population density	[U3] kg
[E54]	Ethanol[air_high population density]	environmental	[M5] air_high population density	[U3] kg
[E55]	Hydrogen[air_high population density]	environmental	[M5] air_high population density	[U3] kg
[E56]	Methane, fossil[air_high population density]	environmental	[M5] air_high population density	[U3] kg
[E57]	Methanesulfonic acid[air_high population density]	environmental	[M5] air_high population density	[U3] kg
[E58]	Methanol[air_high population density]	environmental	[M5] air_high population density	[U3] kg
[E59]	Methane, dichloro-, HCC-30[air_high population density]	environmental	[M5] air_high population density	[U3] kg
[E60]	Methyl amine[air_high population density]	environmental	[M5] air_high population density	[U3] kg
[E61]	Propanol[air_high population density]	environmental	[M5] air_high population density	[U3] kg
[E62]	Propene[air_high population density]	environmental	[M5] air_high population density	[U3] kg
[E63]	Sulphur trioxide[air_high population density]	environmental	[M5] air_high population density	[U3] kg
[E64]	t-Butylamine[air_high population density]	environmental	[M5] air_high population density	[U3] kg
[E65]	Toluene[air_high population density]	environmental	[M5] air_high population density	[U3] kg
[E66]	Acetic acid[water_river]	environmental	[M6] water_river	[U3] kg
[E67]	Acetonitrile[water_river]	environmental	[M6] water_river	[U3] kg
[E68]	Carbonate[water_river]	environmental	[M6] water_river	[U3] kg
[E69]	Chloroacetic acid[water_river]	environmental	[M6] water_river	[U3] kg
[E70]	Chlorosulfonic acid[water_river]	environmental	[M6] water_river	[U3] kg
[E71]	o-Dichlorobenzene[water_river]	environmental	[M6] water_river	[U3] kg
[E72]	Dimethylamine[water_river]	environmental	[M6] water_river	[U3] kg
[E73]	Ethanol[water_river]	environmental	[M6] water_river	[U3] kg
[E74]	Fluoride[water_river]	environmental	[M6] water_river	[U3] kg
[E75]	Formate[water_river]	environmental	[M6] water_river	[U3] kg
[E76]	Methanol[water_river]	environmental	[M6] water_river	[U3] kg
[E77]	Methyl amine[water_river]	environmental	[M6] water_river	[U3] kg
[E78]	Methane, dichloro-, HCC-30[water_river]	environmental	[M6] water_river	[U3] kg
[E79]	Propanol[water_river]	environmental	[M6] water_river	[U3] kg
[E80]	Propene[water_river]	environmental	[M6] water_river	[U3] kg
[E81]	Sulfate[water_river]	environmental	[M6] water_river	[U3] kg
[E82]	t-Butylamine[water_river]	environmental	[M6] water_river	[U3] kg
[E83]	Toluene[water_river]	environmental	[M6] water_river	[U3] kg
[E84]	Water, salt, sole[resource_in water]	environmental	[M8] resource_in water	[U2] m3
[E85]	Bromine, 0.0023% in water[resource_in water]	environmental	[M8] resource_in water	[U3] kg
[E86]	Iodine, 0.03% in water[resource_in water]	environmental	[M8] resource_in water	[U3] kg
[E87]	Toluene, 2-chloro[air_high population density]	environmental	[M5] air_high population density	[U3] kg
[E88]	Acetaldehyde[air_high population density]	environmental	[M5] air_high population density	[U3] kg
[E89]	Aniline[air_high population density]	environmental	[M5] air_high population density	[U3] kg
[E90]	Diethylamine[air_high population density]	environmental	[M5] air_high population density	[U3] kg
[E91]	Dipropylamine[air_high population density]	environmental	[M5] air_high population density	[U3] kg
[E92]	Ethyl acetate[air_high population density]	environmental	[M5] air_high population density	[U3] kg
[E93]	Lactic acid[air_high population density]	environmental	[M5] air_high population density	[U3] kg
[E94]	Methyl lactate[air_high population density]	environmental	[M5] air_high population density	[U3] kg
[E95]	Propanal[air_high population density]	environmental	[M5] air_high population density	[U3] kg
[E96]	Toluene, 2-chloro[water_river]	environmental	[M6] water_river	[U3] kg
[E97]	Acetaldehyde[water_river]	environmental	[M6] water_river	[U3] kg
[E98]	Aniline[water_river]	environmental	[M6] water_river	[U3] kg
[E99]	Bromide[water_river]	environmental	[M6] water_river	[U3] kg
[E100]	Diethylamine[water_river]	environmental	[M6] water_river	[U3] kg
[E101]	Dipropylamine[water_river]	environmental	[M6] water_river	[U3] kg
[E102]	Ethyl acetate[water_river]	environmental	[M6] water_river	[U3] kg
[E103]	Iodide[water_river]	environmental	[M6] water_river	[U3] kg
[E104]	Lactic acid[water_river]	environmental	[M6] water_river	[U3] kg
[E105]	Sulfide[water_river]	environmental	[M6] water_river	[U3] kg
[E106]	Phenol, 2,4-dichloro[air_high population density]	environmental	[M5] air_high population density	[U3] kg
[E107]	Butanol[air_high population density]	environmental	[M5] air_high population density	[U3] kg
[E108]	Ethylene oxide[air_high population density]	environmental	[M5] air_high population density	[U3] kg
[E109]	Phenol[air_high population density]	environmental	[M5] air_high population density	[U3] kg
[E110]	Propane[air_high population density]	environmental	[M5] air_high population density	[U3] kg
[E111]	Propionic acid[air_high population density]	environmental	[M5] air_high population density	[U3] kg
[E112]	Butanol[water_river]	environmental	[M6] water_river	[U3] kg
[E113]	Ethylene oxide[water_river]	environmental	[M6] water_river	[U3] kg
[E114]	Phenol[water_river]	environmental	[M6] water_river	[U3] kg
[E115]	Propionic acid[water_river]	environmental	[M6] water_river	[U3] kg
[E116]	2-Aminopropanol[air_high population density]	environmental	[M5] air_high population density	[U3] kg
[E117]	Acetone[air_high population density]	environmental	[M5] air_high population density	[U3] kg
[E118]	Chloramine[air_high population density]	environmental	[M5] air_high population density	[U3] kg
[E119]	Ethene[air_high population density]	environmental	[M5] air_high population density	[U3] kg
[E120]	Formaldehyde[air_high population density]	environmental	[M5] air_high population density	[U3] kg
[E121]	Propylene oxide[air_high population density]	environmental	[M5] air_high population density	[U3] kg
[E122]	2-Aminopropanol[water_river]	environmental	[M6] water_river	[U3] kg
[E123]	Acetone[water_river]	environmental	[M6] water_river	[U3] kg
[E124]	Chloroacetyl chloride[water_river]	environmental	[M6] water_river	[U3] kg
[E125]	Chloramine[water_river]	environmental	[M6] water_river	[U3] kg
[E126]	Formaldehyde[water_river]	environmental	[M6] water_river	[U3] kg
[E127]	Propylene oxide[water_river]	environmental	[M6] water_river	[U3] kg
[E128]	o-Nitrotoluene[air_high population density]	environmental	[M5] air_high population density	[U3] kg
[E129]	2-Nitrobenzoic acid[air_high population density]	environmental	[M5] air_high population density	[U3] kg
[E130]	Methyl acetate[air_high population density]	environmental	[M5] air_high population density	[U3] kg
[E131]	Isopropylamine[air_high population density]	environmental	[M5] air_high population density	[U3] kg
[E132]	2-Propanol[air_high population density]	environmental	[M5] air_high population density	[U3] kg
[E133]	2-Methyl-1-propanol[air_high population density]	environmental	[M5] air_high population density	[U3] kg
[E134]	Ethylamine[air_high population density]	environmental	[M5] air_high population density	[U3] kg
[E135]	Chloroform[air_high population density]	environmental	[M5] air_high population density	[U3] kg
[E136]	Butene[air_high population density]	environmental	[M5] air_high population density	[U3] kg
[E137]	Anthranilic acid[air_high population density]	environmental	[M5] air_high population density	[U3] kg
[E138]	Ethyne[air_high population density]	environmental	[M5] air_high population density	[U3] kg
[E139]	Borate[water_river]	environmental	[M6] water_river	[U3] kg
[E140]	Boron[water_river]	environmental	[M6] water_river	[U3] kg
[E141]	Butene[water_river]	environmental	[M6] water_river	[U3] kg
[E142]	Benzene, chloro-[water_river, long-term]	environmental	[M9] water_river, long-term	[U3] kg
[E143]	Chloroform[water_river]	environmental	[M6] water_river	[U3] kg
[E144]	Ethylamine[water_river]	environmental	[M6] water_river	[U3] kg
[E145]	2-Methyl-1-propanol[water_river]	environmental	[M6] water_river	[U3] kg
