,name,categories,type,unit,database,"REO solvent extraction, Hi-
tech_1 | NdO from solvent
extraction, primary, Hi-tech |
| REM_replicated_2_2","REO solvent extraction,
baseline_1 | NdO from solvent
extraction, baseline |  |
REM_replicated_2_2","REO solvent extraction, Low-
tech_1 | NdO from solvent
extraction, Low-tech |  |
REM_replicated_2_2","Pulse magnetising and testing
of magnet, recycled, hand
picking | Magnetised NdFeB
magnet, recycled, hand picking
|  | REM_replicated_2_2","Pulse magnetising and testing
of magnet, recycling, shredded
| Magnetised NdFeB magnet,
recycled, shredded |  |
REM_replicated_2_2","pulse magnetising and testing
of magnet, primary, baseline |
Magnetised NdFeB magnet,
primary, baseline |  |
REM_replicated_2_2","REO solvent extraction, Hi-
tech_1 | NdO from solvent
extraction, primary, Hi-tech |
| REM2_2","REO solvent extraction,
baseline_1 | NdO from solvent
extraction, baseline |  |
REM2_2","REO solvent extraction, Low-
tech_1 | NdO from solvent
extraction, Low-tech |  |
REM2_2","Pulse magnetising and testing
of magnet, recycled, hand
picking | Magnetised NdFeB
magnet, recycled, hand picking
|  | REM2_2","Pulse magnetising and testing
of magnet, recycling, shredded
| Magnetised NdFeB magnet,
recycled, shredded |  | REM2_2","pulse magnetising and testing
of magnet, primary, baseline |
Magnetised NdFeB magnet,
primary, baseline |  | REM2_2","REO solvent extraction, Hi-
tech_1 | NdO from solvent
extraction, primary, Hi-tech |
| REM_unlinked_2_2","REO solvent extraction,
baseline_1 | NdO from solvent
extraction, baseline |  |
REM_unlinked_2_2","REO solvent extraction, Low-
tech_1 | NdO from solvent
extraction, Low-tech |  |
REM_unlinked_2_2","Pulse magnetising and testing
of magnet, recycled, hand
picking | Magnetised NdFeB
magnet, recycled, hand picking
|  | REM_unlinked_2_2","Pulse magnetising and testing
of magnet, recycling, shredded
| Magnetised NdFeB magnet,
recycled, shredded |  |
REM_unlinked_2_2","pulse magnetising and testing
of magnet, primary, baseline |
Magnetised NdFeB magnet,
primary, baseline |  |
REM_unlinked_2_2"
0,"1,4-Butanediol","('air', 'urban air close to ground')",emission,kilogram,biosphere3,4.894253129391213e-10,5.101158203600632e-10,5.380076175771107e-10,2.868819011231357e-13,2.794485318561432e-11,4.614810645203547e-10,4.894253129391213e-10,5.101158203600632e-10,5.380076175771107e-10,1.1209862073735539e-12,2.794485318561432e-11,4.614810645203547e-10,4.894253129391225e-10,5.101158203600638e-10,5.380076175771107e-10,1.1209862073735539e-12,2.794485318561433e-11,4.614810645203536e-10
1,1-Pentanol,"('air', 'urban air close to ground')",emission,kilogram,biosphere3,9.774836397401841e-12,1.0737803266894017e-11,1.2106443117125481e-11,2.90793911724483e-13,2.4181490777161114e-12,1.1865139040439709e-11,9.774836397401841e-12,1.0737803266894017e-11,1.2106443117125481e-11,1.747147201594376e-12,2.418149077716111e-12,1.1865139040439705e-11,9.774836397401841e-12,1.0737803266894019e-11,1.2106443117125481e-11,1.747147201594376e-12,2.4181490777161118e-12,1.18651390404397e-11
2,1-Pentene,"('air', 'urban air close to ground')",emission,kilogram,biosphere3,7.386643395529128e-12,8.11433840522091e-12,9.148592497201379e-12,2.1974735753962363e-13,1.8273487009517803e-12,8.966245660502706e-12,7.386643395529128e-12,8.11433840522091e-12,9.148592497201379e-12,1.3202855145985482e-12,1.8273487009517803e-12,8.966245660502704e-12,7.386643395529128e-12,8.114338405220912e-12,9.148592497201379e-12,1.3202855145985482e-12,1.8273487009517807e-12,8.9662456605027e-12
3,"2,4-D","('soil', 'agricultural')",emission,kilogram,biosphere3,7.060600994908997e-07,7.36091027245677e-07,7.766399473249341e-07,7.183946257778203e-11,8.566846103812667e-10,6.610523577084284e-07,7.060600994908997e-07,7.36091027245677e-07,7.766399473249341e-07,1.7062756581417624e-10,8.566846103812667e-10,6.610523577084284e-07,7.060600994909021e-07,7.36091027245678e-07,7.766399473249341e-07,1.7062756581417614e-10,8.566846103812819e-10,6.610523577084265e-07
4,2-Aminopropanol,"('air', 'urban air close to ground')",emission,kilogram,biosphere3,1.1636099170137027e-11,1.2134040561100955e-11,1.2806778731008237e-11,8.434433528246142e-15,4.8144926225399624e-14,1.0930041242867203e-11,1.1636099170137027e-11,1.2134040561100955e-11,1.2806778731008237e-11,2.3299159904160306e-14,4.8144926225399346e-14,1.0930041242867197e-11,1.163609917013702e-11,1.2134040561100958e-11,1.2806778731008237e-11,2.3299159904160306e-14,4.8144926225400185e-14,1.093004124286719e-11
5,2-Methyl pentane,"('air', 'urban air close to ground')",emission,kilogram,biosphere3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,2-Methyl-1-propanol,"('air', 'urban air close to ground')",emission,kilogram,biosphere3,7.558539242223703e-11,7.97413114455565e-11,8.547045021948516e-11,5.118178053724266e-13,4.250960627599087e-12,7.545452980267597e-11,7.558539242223703e-11,7.97413114455565e-11,8.547045021948516e-11,3.0298261237672105e-12,4.2509606275990866e-12,7.545452980267596e-11,7.558539242223718e-11,7.974131144555657e-11,8.547045021948516e-11,3.0298261237672105e-12,4.250960627599089e-12,7.545452980267583e-11
7,2-Methyl-2-butene,"('air', 'urban air close to ground')",emission,kilogram,biosphere3,1.6384508994903391e-15,1.7998624998072316e-15,2.0292726125869623e-15,4.874255817875847e-17,4.0532750306604086e-16,1.988824911977009e-15,1.6384508994903391e-15,1.7998624998072316e-15,2.0292726125869623e-15,2.928548990521322e-16,4.0532750306604086e-16,1.988824911977009e-15,1.6384508994903391e-15,1.7998624998072316e-15,2.0292726125869635e-15,2.928548990521322e-16,4.05327503066041e-16,1.9888249119770086e-15
8,2-Nitrobenzoic acid,"('air', 'urban air close to ground')",emission,kilogram,biosphere3,2.1056697212654108e-11,2.1951031571244598e-11,2.31584745876267e-11,1.171706838530125e-14,5.781964814986913e-14,1.9745702640216375e-11,2.1056697212654108e-11,2.1951031571244598e-11,2.31584745876267e-11,2.072262721140106e-14,5.781964814986862e-14,1.9745702640216362e-11,2.1056697212654102e-11,2.19510315712446e-11,2.31584745876267e-11,2.072262721140106e-14,5.781964814987016e-14,1.9745702640216355e-11
9,2-Propanol,"('air', 'urban air close to ground')",emission,kilogram,biosphere3,1.5089865897478117e-06,1.5708475644095358e-06,1.653528417541261e-06,4.127571301459159e-09,5.115337280217281e-07,1.4720331908798442e-06,1.5089865897478117e-06,1.5708475644095358e-06,1.653528417541261e-06,1.8166705962051024e-08,5.115337280217281e-07,1.4720331908798442e-06,1.5089865897478117e-06,1.5708475644095358e-06,1.653528417541261e-06,1.8166705962051024e-08,5.11533728021728e-07,1.4720331908798434e-06
10,3-Methyl-1-butanol,"('air', 'urban air close to ground')",emission,kilogram,biosphere3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,4-Methyl-2-pentanone,"('air', 'urban air close to ground')",emission,kilogram,biosphere3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,Abamectin,"('soil', 'agricultural')",emission,kilogram,biosphere3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,Acenaphthene,"('air', 'urban air close to ground')",emission,kilogram,biosphere3,5.478986193035651e-12,5.718030518832052e-12,6.0445445857063746e-12,1.4114099639994107e-11,3.258090928281065e-11,7.306186463708492e-12,5.478986193035651e-12,5.718030518832052e-12,6.0445445857063746e-12,1.4686476953498363e-11,3.258090928281065e-11,7.306186463708492e-12,5.478986193035651e-12,5.718030518832052e-12,6.0445445857063746e-12,1.4686476953498363e-11,3.258090928281065e-11,7.306186463708492e-12
