,name,categories,type,unit,database,"Pulse magnetising and testing
of magnet, recycled, hand
picking | Magnetised NdFeB
magnet, recycled, hand picking
|  | REM2_2","Pulse magnetising and testing
of magnet, recycling, shredded
| Magnetised NdFeB magnet,
recycled, shredded |  | REM2_2","pulse magnetising and testing
of magnet, primary, baseline |
Magnetised NdFeB magnet,
primary, baseline |  | REM2_2","Pulse magnetising and testing
of magnet, recycled, hand
picking | Magnetised NdFeB
magnet, recycled, hand picking
|  | REM3_1","Pulse magnetising and testing
of magnet, recycling, shredded
| Magnetised NdFeB magnet,
recycled, shredded |  | REM3_1","pulse magnetising and testing
of magnet, primary, baseline |
Magnetised NdFeB magnet,
primary, baseline |  | REM3_1","Pulse magnetising and testing
of magnet, recycled, hand
picking | Magnetised NdFeB
magnet, recycled, hand picking
|  | REM3_2","Pulse magnetising and testing
of magnet, recycling, shredded
| Magnetised NdFeB magnet,
recycled, shredded |  | REM3_2","pulse magnetising and testing
of magnet, primary, baseline |
Magnetised NdFeB magnet,
primary, baseline |  | REM3_2","Pulse magnetising and testing
of magnet, recycled, hand
picking | Magnetised NdFeB
magnet, recycled, hand picking
|  | REM3_3","Pulse magnetising and testing
of magnet, recycling, shredded
| Magnetised NdFeB magnet,
recycled, shredded |  | REM3_3","pulse magnetising and testing
of magnet, primary, baseline |
Magnetised NdFeB magnet,
primary, baseline |  | REM3_3","Pulse magnetising and testing
of magnet, recycled, hand
picking | Magnetised NdFeB
magnet, recycled, hand picking
|  | REM3_4","Pulse magnetising and testing
of magnet, recycling, shredded
| Magnetised NdFeB magnet,
recycled, shredded |  | REM3_4","pulse magnetising and testing
of magnet, primary, baseline |
Magnetised NdFeB magnet,
primary, baseline |  | REM3_4","Pulse magnetising and testing
of magnet, recycled, hand
picking | Magnetised NdFeB
magnet, recycled, hand picking
|  | REM3_5","Pulse magnetising and testing
of magnet, recycling, shredded
| Magnetised NdFeB magnet,
recycled, shredded |  | REM3_5","pulse magnetising and testing
of magnet, primary, baseline |
Magnetised NdFeB magnet,
primary, baseline |  | REM3_5","Pulse magnetising and testing
of magnet, recycled, hand
picking | Magnetised NdFeB
magnet, recycled, hand picking
|  | REM3_6","Pulse magnetising and testing
of magnet, recycling, shredded
| Magnetised NdFeB magnet,
recycled, shredded |  | REM3_6","pulse magnetising and testing
of magnet, primary, baseline |
Magnetised NdFeB magnet,
primary, baseline |  | REM3_6","REO solvent extraction, Hi-
tech_1 | NdO from solvent
extraction, primary, Hi-tech |
| REM2_2","REO solvent extraction,
baseline_1 | NdO from solvent
extraction, baseline |  |
REM2_2","REO solvent extraction, Low-
tech_1 | NdO from solvent
extraction, Low-tech |  |
REM2_2","REO solvent extraction, Hi-
tech_1 | NdO from solvent
extraction, primary, Hi-tech |
| REM3_6","REO solvent extraction,
baseline_1 | NdO from solvent
extraction, baseline |  |
REM3_6","REO solvent extraction, Low-
tech_1 | NdO from solvent
extraction, Low-tech |  |
REM3_6","REO solvent extraction, Hi-
tech_1 | NdO from solvent
extraction, primary, Hi-tech |
| REM3_5","REO solvent extraction,
baseline_1 | NdO from solvent
extraction, baseline |  |
REM3_5","REO solvent extraction, Low-
tech_1 | NdO from solvent
extraction, Low-tech |  |
REM3_5"
0,"1,4-Butanediol","('air', 'urban air close to ground')",emission,kilogram,biosphere3,1.1209862073733768e-12,2.7944853185614207e-11,4.614810645203592e-10,2.5093041303996677e-11,5.849719038093196e-11,1.040442354118288e-09,1.921058538998336e-11,4.619510064244348e-11,6.380744796605361e-10,2.345438818922075e-11,5.567699674255154e-11,6.235286190462754e-10,1.4400145400293248e-11,3.456658329098931e-11,9.309056637276432e-10,1.4423914722312378e-11,1.4897357401976852e-10,1.3069052393556007e-09,2.1859532065288613e-11,1.5729891110599949e-10,1.0567069896204666e-09,4.894253129391193e-10,5.101158203600623e-10,5.380076175771094e-10,1.0991672064989209e-09,1.1448958832291101e-09,1.2067763233795481e-09,1.3766684142258076e-09,1.4328641489614301e-09,1.508734094345679e-09
1,1-Pentanol,"('air', 'urban air close to ground')",emission,kilogram,biosphere3,1.7471472015943744e-12,2.4181490777161073e-12,1.1865139040439692e-11,4.114418356539777e-12,7.117831440825998e-12,9.538939509292981e-11,3.4234272355452475e-12,5.938815274267396e-12,6.772335084806759e-11,4.145182850544548e-12,7.574080774712773e-12,8.129686550723127e-11,2.1134132854614443e-12,2.988678049252431e-12,8.476377880252853e-11,2.0732711720533326e-12,2.8702353034024574e-12,8.389998227436812e-11,3.735578249265531e-12,5.04390263499137e-12,1.3755668738185516e-10,9.77483639740183e-12,1.0737803266894006e-11,1.2106443117125472e-11,1.4176356982440803e-10,1.4861041825789539e-10,1.5795688314315785e-10,8.682387786261996e-11,9.105981256043269e-11,9.684723852798463e-11
2,1-Pentene,"('air', 'urban air close to ground')",emission,kilogram,biosphere3,1.320285514598547e-12,1.8273487009517775e-12,8.966245660502694e-12,2.482284122135814e-11,8.802405832565807e-11,1.9834299351882084e-10,2.3428483630925537e-11,8.618912645511154e-11,1.754514087974993e-10,2.491287612543038e-11,8.957757810435544e-11,1.880774412889473e-10,2.0491889547739715e-11,8.311751466990198e-11,1.9872759936504293e-10,2.0677118444194015e-11,8.288098215832419e-11,1.9652369971811536e-10,2.574195344752912e-11,8.72916520765239e-11,2.4004714643737155e-10,7.386643395529122e-12,8.114338405220903e-12,9.148592497201369e-12,1.7528312769393416e-10,1.837426112573647e-10,1.9524705151823135e-10,1.3361207496822304e-10,1.4003969716247654e-10,1.487786482463534e-10
3,"2,4-D","('soil', 'agricultural')",emission,kilogram,biosphere3,1.7062756581413793e-10,8.56684610381358e-10,6.610523577084281e-07,5.175623204414905e-08,1.198350281247346e-07,5.104387763421403e-06,2.6734174477401264e-08,6.390983675902435e-08,2.9646836727179238e-06,4.646623491295907e-08,1.0768151384501708e-07,2.966376478327044e-06,1.1016588664937114e-08,2.771958902524046e-08,4.534414098181294e-06,9.09756794183889e-09,2.3067604925590943e-08,4.499405977098171e-06,6.717644999209883e-09,1.6954873652416332e-08,3.0287660460986493e-06,7.060600994909019e-07,7.360910272456798e-07,7.766399473249368e-07,3.231131652351842e-06,3.3685209785785757e-06,3.554031492636934e-06,4.801410783839419e-06,5.005452764854532e-06,5.280947045503704e-06
4,2-Aminopropanol,"('air', 'urban air close to ground')",emission,kilogram,biosphere3,2.3299159904159568e-14,4.814492622539095e-14,1.0930041242867179e-11,9.737629359303607e-12,2.1563808394168625e-11,1.0821230196569512e-10,1.1211464106161632e-11,2.5288898591749317e-11,7.461949061271126e-11,1.996612871148989e-11,4.478596712423573e-11,6.219485147605516e-11,2.886401771894712e-13,6.942048232615931e-13,8.363419303762591e-11,2.3380926275237704e-13,5.6211463407728e-13,8.282026904723602e-11,3.785747024445848e-12,5.110401922033372e-12,1.4801101124145351e-10,1.1636099170137004e-11,1.2134040561100931e-11,1.280677873100822e-11,1.5286328969361517e-10,1.6018950022603244e-10,1.7018412363930927e-10,8.832939379841211e-11,9.208421267387864e-11,9.715410181437388e-11
5,2-Methyl pentane,"('air', 'urban air close to ground')",emission,kilogram,biosphere3,0.0,0.0,0.0,2.0353498726249944e-09,7.788414571821255e-09,1.1755625508048872e-08,1.8308956394690576e-09,7.435055123234186e-09,1.1040710936541155e-08,1.8474331424720022e-09,7.492798662096626e-09,1.1022681340903654e-08,1.5975942287827017e-09,7.2450851739096775e-09,1.1785680976417802e-08,1.6126552139088832e-09,7.231268259911444e-09,1.16575518871427e-08,1.9358862699089644e-09,7.46526502756193e-09,1.1896443412836497e-08,0.0,0.0,0.0,5.6893049377966815e-09,5.962932842662454e-09,6.332508828481076e-09,5.679432380994222e-09,5.949462585901042e-09,6.314690938106467e-09
6,2-Methyl-1-propanol,"('air', 'urban air close to ground')",emission,kilogram,biosphere3,3.0298261237672044e-12,4.250960627599078e-12,7.545452980267591e-11,9.966203919226825e-12,1.8763594287658832e-11,3.379157614623916e-10,7.977837477316552e-12,1.501309613185181e-11,2.4785906475265395e-10,1.0343631566405498e-11,2.042319630096379e-11,7.948530587094124e-10,4.0618217263637405e-12,6.257540858112607e-12,3.4042964291818575e-10,3.92576965723082e-12,5.881910447234911e-12,3.3784909986488335e-10,1.1776103353264235e-11,1.6127342230217277e-11,5.126387014222153e-10,7.558539242223712e-11,7.974131144555664e-11,8.54704502194853e-11,5.313377846867025e-10,5.56474226687197e-10,5.907297166584878e-10,3.5586804134337274e-10,3.719423580164128e-10,3.937642814903827e-10
7,2-Methyl-2-butene,"('air', 'urban air close to ground')",emission,kilogram,biosphere3,2.928548990521319e-16,4.0532750306604e-16,1.988824911977005e-15,2.5163690323496516e-12,3.871892055624582e-12,5.587790092432245e-12,2.160110871907446e-12,3.832340483103801e-12,5.880274533015117e-12,2.1662706283732827e-12,2.412654893523148e-12,2.7653413341173256e-12,1.3023090216876678e-15,3.612290153231725e-15,4.2632484601130246e-14,1.9580561346412316e-15,8.068943807283674e-15,5.036749316868814e-14,3.209577712056814e-15,1.0024486824926393e-14,7.773474138103617e-14,1.638450899490336e-15,1.799862499807228e-15,2.02927261258696e-15,7.032756007651034e-14,7.781402888973611e-14,8.753387240528514e-14,4.471599882816597e-14,4.8980757456891e-14,5.454865837338733e-14
8,2-Nitrobenzoic acid,"('air', 'urban air close to ground')",emission,kilogram,biosphere3,2.072262721139976e-14,5.781964814985344e-14,1.9745702640216333e-11,4.829570173622376e-12,1.0843727529483273e-11,2.3172346738628915e-10,3.4743908271791913e-12,7.919927909810508e-12,1.5981858639704672e-10,4.8766565509695485e-12,1.1105620446512735e-11,1.248583186976075e-10,5.176560323177006e-13,1.2846793985384435e-12,1.9766746838328733e-10,4.304428707844959e-13,1.068277800408134e-12,1.956024079972729e-10,8.811808123389134e-12,1.191688781997991e-11,3.4741671558677284e-10,2.105669721265407e-11,2.1951031571244556e-11,2.315847458762667e-11,3.588949273586648e-10,3.7608260106896216e-10,3.9952904563383697e-10,2.0870910129494362e-10,2.1757745256659418e-10,2.2955128840608697e-10
9,2-Propanol,"('air', 'urban air close to ground')",emission,kilogram,biosphere3,1.8166705962048125e-08,5.115337280217254e-07,1.4720331908799323e-06,2.788321997542053e-08,4.792902981901213e-07,1.3735158713993414e-06,2.5091972089847006e-08,4.6109468689256416e-07,1.2930275163793029e-06,2.5380646986333333e-08,4.6159551108566047e-07,1.2942504906547578e-06,2.485684440562917e-08,5.38695313458566e-07,1.506078297198293e-06,2.6851809751175873e-08,5.326071121911935e-07,1.4790138947311505e-06,3.3421034652461025e-08,5.418563286191696e-07,1.494435648356602e-06,1.5089865897477567e-06,1.5708475644094913e-06,1.6535284175412108e-06,1.5066870638915584e-06,1.573039866658311e-06,1.6619611060285726e-06,1.4987705529325581e-06,1.563533940051967e-06,1.6503831342320507e-06
