,index,amount,unit,reference product,name,location,database,CML 2001 (obsolete) | eutrophication potential | average European,CML 2001 (obsolete) | acidification potential | average European,CML 2001 (obsolete) | photochemical oxidation (summer smog) | high NOx POCP,CML 2001 (obsolete) | climate change | GWP 100a,CML 2001 (obsolete) | ionising radiation | ionising radiation,CML 2001 (obsolete) | freshwater aquatic ecotoxicity | FAETP infinite,CML 2001 (obsolete) | stratospheric ozone depletion | ODP steady state,CML 2001 (obsolete) | human toxicity | HTP infinite
0,"Magnetised NdFeB magnet, recycled, hand picking | Pulse magnetising and testing of magnet, recycled, hand picking |  | kilogram | REM2_2",1.0,kilogram,"Magnetised NdFeB magnet, recycled, hand picking","Pulse magnetising and testing of magnet, recycled, hand picking",,REM2_2,0.017578667184875524,0.1742775096217564,0.007492123071636956,4.253672994438617,3.379839580635891e-08,9.76101363854459,1.5652966875730463e-07,11.013392889058764
1,"Magnetised NdFeB magnet, recycled, shredded | Pulse magnetising and testing of magnet, recycling, shredded |  | kilogram | REM2_2",1.0,kilogram,"Magnetised NdFeB magnet, recycled, shredded","Pulse magnetising and testing of magnet, recycling, shredded",,REM2_2,0.0323602235770062,0.20788169559886058,0.009011184787447153,10.213072366857416,7.893343971887165e-08,11.232673044781974,8.441511848194757e-07,28.124507042976784
2,"Magnetised NdFeB magnet, primary, baseline | pulse magnetising and testing of magnet, primary, baseline |  | kilogram | REM2_2",1.0,kilogram,"Magnetised NdFeB magnet, primary, baseline","pulse magnetising and testing of magnet, primary, baseline",,REM2_2,0.18954073190507498,0.44211100302709017,0.01797532868496276,26.73243299960702,5.109244552351876e-08,13.88356269108608,2.5892328960331398e-06,148.7840633795799
3,"Magnetised NdFeB magnet, recycled, hand picking | Pulse magnetising and testing of magnet, recycled, hand picking |  | kilogram | REM3_1",1.0,kilogram,"Magnetised NdFeB magnet, recycled, hand picking","Pulse magnetising and testing of magnet, recycled, hand picking",,REM3_1,0.020688868086334637,0.17644670980088528,0.007600453610310277,4.8461632769443685,2.2652170036057724e-08,10.472813877144002,2.5084445529080203e-07,12.228340823175028
4,"Magnetised NdFeB magnet, recycled, shredded | Pulse magnetising and testing of magnet, recycling, shredded |  | kilogram | REM3_1",1.0,kilogram,"Magnetised NdFeB magnet, recycled, shredded","Pulse magnetising and testing of magnet, recycling, shredded",,REM3_1,0.03650678672084549,0.21329923595311187,0.009305126720685472,11.306687720031139,5.54434696503131e-08,12.137230231660608,1.2281008052977497e-06,29.723972286038844
5,"Magnetised NdFeB magnet, primary, baseline | pulse magnetising and testing of magnet, primary, baseline |  | kilogram | REM3_1",1.0,kilogram,"Magnetised NdFeB magnet, primary, baseline","pulse magnetising and testing of magnet, primary, baseline",,REM3_1,0.19431910762440296,0.4268693583554546,0.01741743441885762,27.16089027705592,4.7739710335570746e-08,14.143053177815071,3.2590055715345558e-06,149.95432047230045
6,"Magnetised NdFeB magnet, recycled, hand picking | Pulse magnetising and testing of magnet, recycled, hand picking |  | kilogram | REM3_2",1.0,kilogram,"Magnetised NdFeB magnet, recycled, hand picking","Pulse magnetising and testing of magnet, recycled, hand picking",,REM3_2,0.018593852601076433,0.1562130209614495,0.006805580442476378,4.395894562748593,2.680506395506824e-08,10.00602266042245,2.293791028176884e-07,11.189332475867058
7,"Magnetised NdFeB magnet, recycled, shredded | Pulse magnetising and testing of magnet, recycling, shredded |  | kilogram | REM3_2",1.0,kilogram,"Magnetised NdFeB magnet, recycled, shredded","Pulse magnetising and testing of magnet, recycling, shredded",,REM3_2,0.03404116712313682,0.19209931695361354,0.00846584451205299,10.41868495650557,6.345922394425391e-08,12.022870624265266,1.1548712753143183e-06,28.69589859585578
8,"Magnetised NdFeB magnet, primary, baseline | pulse magnetising and testing of magnet, primary, baseline |  | kilogram | REM3_2",1.0,kilogram,"Magnetised NdFeB magnet, primary, baseline","pulse magnetising and testing of magnet, primary, baseline",,REM3_2,0.1816949152006567,0.34564287653600767,0.014348499596211574,26.70705791556162,3.688502811269821e-08,14.890578926173076,3.0722546309106207e-06,149.83585223411717
9,"Magnetised NdFeB magnet, recycled, hand picking | Pulse magnetising and testing of magnet, recycled, hand picking |  | kilogram | REM3_3",1.0,kilogram,"Magnetised NdFeB magnet, recycled, hand picking","Pulse magnetising and testing of magnet, recycled, hand picking",,REM3_3,0.01866360152918748,0.1564785522690689,0.006823608221243606,4.403304449689046,2.6726634736631974e-08,9.977734793980769,2.332795364978394e-07,11.254607412611064
10,"Magnetised NdFeB magnet, recycled, shredded | Pulse magnetising and testing of magnet, recycling, shredded |  | kilogram | REM3_3",1.0,kilogram,"Magnetised NdFeB magnet, recycled, shredded","Pulse magnetising and testing of magnet, recycling, shredded",,REM3_3,0.03419958672337554,0.19252279003934686,0.008497470104776906,10.428753243846858,6.301352265618049e-08,11.877527363658645,1.157068272975439e-06,28.808432193754197
